025-09-17 17:05:41,671 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_price_action_patterns (SELL) - Escenario de mercado no determinado todavía
2025-09-17 17:27:33,472 - RiskManager - INFO -   Calculado con fallback: riesgo=9.51 / pip_risk=0.00034
2025-09-17 17:27:33,472 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 27750.75 - Puede causar P&L extremo
2025-09-17 17:28:05,659 - RiskManagerIntegration - ERROR - Override values inválidos para BUY: Precio=1.1832, estrategia=forex_price_action_patterns SL=1.1835714285714285, TP=1.1824571428571429
2025-09-17 17:29:53,931 - RiskManagerIntegration - ERROR - Override values inválidos para SELL: Precio=1.1832, estrategia=forex_support_resistance_strategy SL=1.1828142857142858, TP=1.1839714285714285
2025-09-17 17:30:20,609 - RiskManager - INFO - APERTURA - Lote size calculado: 22230.54
2025-09-17 17:30:20,610 - RiskManager - INFO -   Calculado con fallback: riesgo=9.84 / pip_risk=0.00044
2025-09-17 17:30:20,610 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 22230.54 - Puede causar P&L extremo
2025-09-17 17:30:20,630 - RiskManager - INFO - APERTURA - Lote size calculado: 22008.24
2025-09-17 17:30:20,630 - RiskManager - INFO -   Calculado con fallback: riesgo=9.75 / pip_risk=0.00044
2025-09-17 17:30:20,630 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 22008.24 - Puede causar P&L extremo
2025-09-17 17:30:25,975 - RiskManager - INFO - APERTURA - Lote size calculado: 21788.16
2025-09-17 17:30:25,975 - RiskManager - INFO -   Calculado con fallback: riesgo=9.65 / pip_risk=0.00044
2025-09-17 17:30:25,975 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 21788.16 - Puede causar P&L extremo
2025-09-17 17:30:31,346 - RiskManager - INFO - APERTURA - Lote size calculado: 21996.47
2025-09-17 17:30:31,346 - RiskManager - INFO -   Calculado con fallback: riesgo=9.74 / pip_risk=0.00044
2025-09-17 17:30:31,347 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 21996.47 - Puede causar P&L extremo
2025-09-17 17:32:25,935 - RiskManagerIntegration - ERROR - Override values inválidos para SELL: Precio=1.1834, estrategia=forex_support_resistance_strategy SL=1.1829714285714286, TP=1.1842571428571427
2025-09-17 17:38:11,815 - RiskManager - INFO - APERTURA - Lote size calculado: 23761.32
2025-09-17 17:38:11,815 - RiskManager - INFO -   Calculado con fallback: riesgo=10.52 / pip_risk=0.00044
2025-09-17 17:38:11,815 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 23761.32 - Puede causar P&L extremo
2025-09-17 17:41:29,498 - RiskManager - INFO - APERTURA - Lote size calculado: 26188.28
2025-09-17 17:41:29,498 - RiskManager - INFO -   Calculado con fallback: riesgo=10.48 / pip_risk=0.00040
2025-09-17 17:41:29,498 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 26188.28 - Puede causar P&L extremo
2025-09-17 17:41:29,508 - RiskManager - INFO - APERTURA - Lote size calculado: 25926.39
2025-09-17 17:41:29,508 - RiskManager - INFO -   Calculado con fallback: riesgo=10.37 / pip_risk=0.00040
2025-09-17 17:41:29,508 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 25926.39 - Puede causar P&L extremo
2025-09-17 17:47:07,749 - RiskManager - INFO - APERTURA - Lote size calculado: 21982.47
2025-09-17 17:47:07,749 - RiskManager - INFO -   Calculado con fallback: riesgo=10.05 / pip_risk=0.00046
2025-09-17 17:47:07,749 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 21982.47 - Puede causar P&L extremo
